GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
A2M,Alpha-2-macroglobulin deficiency,AD,N/A,General,The clinical consequences of variants are unclear,94459; 2475424; 1370808 
A2ML1,"Otitis media, susceptibility to",AD,Pediatric,Allergy/Immunology/Infectious,"Individuals may have increased susceptibility to otitis media, and awareness may allow awareness leading to prompt diagnosis and treatment of otitis media",26121085
A4GALT,"Blood group, P1PK system",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",10993874
AAAS,Achalasia-addisonianism-alacrimia syndrome,AR,Pediatric,Dermatologic; Endocrine; Gastrointestinal; Neurologic; Ophthalmologic,"Surveillance and treatment/preventive measures (with substitution therapy) to avoid sequelae of adrenal insufficiency, including adrenal crisis, may be beneficial",78049; 6243664; 3565479; 1537368; 8006362; 7895750; 8757578; 11062474; 11159947; 11914417; 12429595; 12752575; 16264411; 16938764; 8628786; 19172511; 18172684; 20051279; 20200814; 20499090; 20447142; 21565631 
AAGAB,"Keratoderma, palmoplantar, punctate type IA",AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23000146; 23064416
AARS1,"Charcot-Marie-Tooth disease, axonal, type 2N; Epileptic encephalopathy, early infantile, 29",AD/AR,N/A,Audiologic/Otolaryngologic; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",20045102; 22206013; 22009580; 22573628; 25817015
AARS2,"Leukoencephalopathy, progressive, with ovarian failure",AR,Pediatric,Biochemical; Cardiovascular; Endocrine; Musculoskeletal; Neurologic; Obstetric,"Females may suffer from premature ovarian failure, and measures to allow reproduction (eg,through egg preservation) may be desired",21549344; 24808023; 25058219
AASS,"Hyperlysinemia, type I",AR,N/A,Biochemical,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",14209691; 5796356; 5557172; 934735; 10775527; 23570448
ABAT,GABA-transaminase deficiency,AR,Pediatric,Biochemical; Neurologic,"The condition includes neonatal or early-onset neurologic sequelae, and medical management (with continuous flumazenil) has been described as beneficial in a patient with a milder phenotype",6148708; 4020531; 10407778; 27596361; 28411234
ABCA1,"Hypoalphalipoproteinemia, primary, 1; Tangier disease",AD/AR,Pediatric,Cardiovascular; Neurologic; Ophthalmologic,"Early cardiovascular events are common (eg, myocardial infarctions due to atherosclerosis), and while specific medical therapy is not currently available, preventive measures to decrease additional contributory atherosclerotic risk factors, as well as surveillance to allow early diagnosis and treatment of cardiovascular manifestations, may be beneficial",14162531; 5831900; 4165386; 4165172; 198431; 190272; 194920; 195100; 75948; 7406376; 4082916; 3677505; 3799433; 3314502; 8432861; 7627690; 10431237; 10431236; 10525055; 9888879; 10533863; 16343506; 10535983;  10431238; 11086027; 11476965; 12084722; 12111371; 12111381; 12702168; 14742612; 16343506; 18955690; 19723515; 22179783; 22913675; 23430904
ABCA12,"Ichthyosis, congenital, autosomal recessive 4B; Ichthyosis, lamellar, type 2",AR ,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8204475; 12208260; 12915478; 16007253; 15756637; 16902423; 21339420; 21729033; 22257947 
ABCA2,Intellectual developmental disorder with poor growth and with or without seizures or ataxia,AR,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",29302074; 30237576; 31047799
ABCA3,"Surfactant metabolism dysfunction, pulmonary, 3",AR,Pediatric,Pulmonary,"Individuals may present in infancy with severe respiratory insufficiency (a presentation in early childhood ascribed to a heterozygous variant has also beeen described), and diagnosis has important therapeutic implications, as BMT can be effective; Lung transplant may be beneficial in some individuals",15044640; 15976379; 15819986; 15985750; 17719949; 22337229; 22304854; 23166334  
ABCA4,"Cone-rod dystrophy 3; Retinitis pigmentosa 19; Stargardt disease 1; Retinal dystrophy, early-onset severe; Fundus flavimaculatus; Macular degeneration, age-related, 2",AD/AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9054934; 9466990; 9425888; 9781034; 10396622; 10442900; 10874631; 10396622; 11818392; 12515255; 12796258; 16896346; 16682602; 11385708; 21510770; 21786275; 22229821; 22312191; 22328824; 22395892; 22661473; 22863181; 23096905
ABCA5,"Hypertrichosis terminalis, generalized, with or without gingival hyperplasia",AR,N/A,Craniofacial; Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24831815
ABCB1,"Colchicine metabolism, association with",AD,Pediatric,General,"Selection and dosing of medications (eg,colchicine) may be affected by the presence of variants",7188928; 7129432; 17259950; 18973929; 21851199
ABCB11,"Cholestasis, progressive familial intrahepatic 2",AR,Pediatric,Gastrointestinal; Oncologic,"In severe forms, specific nutritional care may be beneficial (eg, including specific vitamin E supplementation); Individuals are at high risk for hepatocellular carcinoma early in life, and surveillance and early treatment may be beneficial; Recurrence after liver transplant may benefit from immunosuppresive treatment; Liver transplant may be indicated",9806540; 10579978; 15300568; 16039748; 16871584; 20301474; 19797282; 21055686; 21766090; 21219577; 22675952 
ABCB4,"Cholestasis, progressive familial intrahepatic 3; Low phospholipid-associated cholelithiasis 1;  Cholestasis, oral contraceptives induced; Cholestasis, familial intrahepatic, of pregnancy; Gallbladder disease 1",AD/AR,Pediatric,Gastrointestinal,"Medical treatment (eg, with ursodeoxycholine) may be beneficial, though in some forms, liver transplantation has been described as necessary; Medications (eg, OCPs) may lead to adverse reactions; In pregnancy, the condition can cause severe sequelae (including death) in the fetus, as well as adverse maternal health outcomes, and precautions, including early delivery, may be beneficial",8666348; 9049190; 9419367; 9923886; 10767346; 11313315; 11313316; 15203080; 17726488; 17414143; 18482588; 19584064; 20887599; 20537830; 21310683; 21119540; 21989363
ABCB6,"Pseudohyperkalemia, familial, 2, due to red cell leak; Blood group, Langereis system",AD/BG,Pediatric,Dermatologic; Hematologic; Ophthalmologic,"Variants related to Familial pseudohyperkalemia may be important related to transfusion management; Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",5790273; 22246506; 22226084; 23180570; 23519333; 24947683
